id|nome_portal|texto_postagem|comment|sentimento
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |alvará de soltura para oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao alemão; poze vai a bangu|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |esse acessório aí é um prêmio pra ele! vai se gabar disso!|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |justiça de merd@, só p q rouba alimento p comer.|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |não adianta ele recebe droga delivery.|NEGATIVO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |isso não vai dar certo|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |game posted on telegram link in bio to join|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |venezuela decreta estado de exceção que dá poderes especiais a maduro em caso de ataque dos eua|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |só se for estado de exceção².|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |mais poderes?|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |está chegando a hora do maduro apodrecer, pena que vai ser por conta de outro projeto de ditador como ele.|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |trump empoderando seus desafetos.|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |"isso, aí maduro, igual aqui, defenda a ""soberania""."|NEUTRO
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
 "|acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'desempenho dela', diz mãe|NEUTRO
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
 "|vamos torcer para que seja protegida dos professor militantes, que fazem lavagem cerebral em pessoas que tem uma perspectiva brilhante e transforma essas pessoas em um verdadeiro excremento social ressentido e invejoso.|POSITIVO
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
 "|morando no sudeste gastei mais de 2 mil reais em 6 vestibulares em 1999.  ela deve ter gastado uns 15 mil reais morando no acre.|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |j.k. rowling critica emma watson e diz que atriz é 'ignorante' sobre questões de pessoas trans|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |esqueceu de dizer que ela é ignorante sobre todas as outras questões também|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |está certíssima. top|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |a demência dela não justifica a idiotice. j. k. rowling é mais uma que já está fazendo hora-extra na terra.|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |esse cancer vai matar essa fdp qnd?|NEGATIVO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |vamos separar a artista da obra.|NEUTRO
5|g1|'BBB 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados   |'bbb 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados|NEUTRO
5|g1|'BBB 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados   |quem assiste essa merda tem menos miolos que um pão francês.|NEGATIVO
6|g1|Leilão do Detran-SP tem Chevrolet Vectra mais barato que iPhone e VW Gol a R$ 2,9 mil  |leilão do detran-sp tem chevrolet vectra mais barato que iphone e vw gol a r$ 2,9 mil|NEUTRO
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos  |fachin assume presidência do stf nesta segunda e herdará mais de 3 mil processos|NEUTRO
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos  |todos eles são contra bolsonaro?|NEUTRO
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos  |sai merda entra lixo|NEGATIVO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |eua apresentam plano de paz para gaza com conselho presidido por trump, anistia ao hamas e possibilidade de estado palestino|NEUTRO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |e alguém acredita que será bom para gaza?|NEUTRO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |“possibilidade” pqp quem aceitar isso é louco|NEUTRO
