id|nome_portal|texto_postagem|comment
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu #g1 #g1local|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu #g1 #g1local
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu #g1 #g1local|Esse acessório aí é um prêmio pra ele! Vai se gabar disso!
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu #g1 #g1local|Justiça de merd@, só p q rouba alimento p comer.
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu #g1 #g1local|Não adianta ele recebe droga delivery.
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu #g1 #g1local|isso não vai dar certo
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu #g1 #g1local|Game posted on telegram link in bio to join
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA #g1 #g1mundo|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA #g1 #g1mundo
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA #g1 #g1mundo|Só se for estado de exceção².
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA #g1 #g1mundo|Mais poderes?
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA #g1 #g1mundo|Está chegando a hora do maduro apodrecer, pena que vai ser por conta de outro projeto de ditador como ele.
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA #g1 #g1mundo|Trump empoderando seus desafetos.
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA #g1 #g1mundo|"Isso, aí Maduro, igual aqui, defenda a ""soberania""."
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
glo.bo/487787E #g1"|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
glo.bo/487787E #g1"
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
glo.bo/487787E #g1"|Vamos torcer para que seja protegida dos professor militantes, que fazem lavagem cerebral em pessoas que tem uma perspectiva brilhante e transforma essas pessoas em um verdadeiro excremento social ressentido e invejoso.
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
glo.bo/487787E #g1"|"Morando no sudeste gastei mais de 2 mil reais em 6 vestibulares em 1999.

Ela deve ter gastado uns 15 mil reais morando no Acre."
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
glo.bo/487787E #g1"|
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans #g1 #g1mundo|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans #g1 #g1mundo
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans #g1 #g1mundo|Esqueceu de dizer que ela é ignorante sobre todas as outras questões também
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans #g1 #g1mundo|Está certíssima. Top
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans #g1 #g1mundo|A demência dela não justifica a idiotice. J. K. Rowling é mais uma que já está fazendo hora-extra na Terra.
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans #g1 #g1mundo|Esse cancer vai matar essa fdp qnd?
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans #g1 #g1mundo|Vamos separar a artista da obra.
5|g1|'BBB 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados  #g1 #g1pop|'BBB 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados  #g1 #g1pop
5|g1|'BBB 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados  #g1 #g1pop|Quem assiste essa merda tem menos miolos que um pão francês.
6|g1|Leilão do Detran-SP tem Chevrolet Vectra mais barato que iPhone e VW Gol a R$ 2,9 mil #g1 #g1local|Leilão do Detran-SP tem Chevrolet Vectra mais barato que iPhone e VW Gol a R$ 2,9 mil #g1 #g1local
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos #g1 #g1política|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos #g1 #g1política
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos #g1 #g1política|Todos eles são contra Bolsonaro?
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos #g1 #g1política|Sai merda entra lixo
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino #g1 #g1mundo|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino #g1 #g1mundo
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino #g1 #g1mundo|E alguém acredita que será bom para Gaza?
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino #g1 #g1mundo|“Possibilidade” pqp quem aceitar isso é louco
